family_id,age,sex,occupation
5,50,F,NA
5,25,F,NA
5,2,M,NA
6,65,M,cultivator
6,36,F,NA
6,34,F,NA
6,3,F,NA
6,38,M,cultivator
6,35,M,cultivator
7,39,M,NA
7,29,F,NA
7,8,M,NA
7,6,M,NA
7,3,M,NA
7,69,M,NA
7,68,F,NA
8,45,M,cultivator
8,50,F,NA
9,49,M,cultivator
9,45,F,NA
9,11,F,NA
9,8,M,NA
9,7,M,NA
9,7,F,NA
10,35,M,mason
10,34,F,NA
10,8,M,NA
10,7,M,NA
10,5,M,NA
10,3,F,NA
10,1,M,NA
11,23,F,NA
11,52,F,NA
11,20,M,NA
12,21,M,NA
13,39,M,cultivator
14,47,M,cultivator
14,44,F,NA
14,8,F,NA
14,5,F,NA
14,11,M,NA
15,36,M,cultivator
15,32,F,NA
15,3,M,NA
15,9,F,NA
16,38,M,cultivator
17,57,M,cultivator
17,49,F,NA
17,22,F,NA
17,5,M,NA
18,36,M,cultivator
18,36,F,NA
18,8,M,NA
18,1,M,NA
19,27,F,NA
20,32,M,cultivator
21,27,M,cultivator
21,23,F,NA
21,1,M,NA
21,40,M,cultivator
21,42,F,NA
21,1,M,NA
22,35,M,cultivator
22,30,F,NA
23,44,M,cultivator
23,42,F,NA
23,8,M,NA
23,5,F,NA
23,1,F,NA
24,31,M,cultivator
24,36,F,NA
24,6,F,NA
24,4,M,NA
24,1,F,NA
25,26,M,cultivator
26,19,M,cultivator
27,29,M,cultivator
27,22,F,NA
28,32,M,NA
29,39,M,NA
30,49,M,cultivator
30,38,F,NA
30,17,F,NA
30,14,F,NA
30,5,F,NA
30,3,F,NA
30,1,M,NA
